,name,latitude,longitude,category
33,Canal Bar,40.678028,-73.985922,club
34,Valhalla,40.765959,-73.987405,club
35,Blew Smoke,40.68002,-73.96402,club
36,Clandestino,40.71467,-73.990763,club
37,The Box,40.72187,-73.992211,club
38,Bed-Vyne Cocktail,40.682963,-73.940713,club
39,Biddy's Pub,40.781073,-73.949143,club
40,Trans Pecos,40.697082,-73.906395,club
41,Carolines On Broadway,40.760921,-73.984106,club
42,Larry Flynt's Hustler Club,40.767455,-73.995941,club
43,Mamajuana Cafe Queens,40.752894,-73.904733,club
44,TBA Brooklyn,40.711125,-73.966271,club
45,Nowhere,40.73184,-73.984146,club
46,The Sackett,40.678022,-73.982172,club
47,Xstasy Night Club,40.65855,-73.996581,club
48,Union League Club,40.748937,-73.980317,club
49,Marquee,40.75004,-74.002688,club
0,Fiorello H. LaGuardia High School,40.774004,-73.985273,school
1,Townsend Harris High S,40.734939,-73.821328,school
2,P.S. 11 - William T. Harris School,40.744393,-74.000666,school
3,Brooklyn Technical High School,40.688885,-73.976605,school
4,Ps 133 William A Butler,40.680165,-73.980642,school
5,Public School 11,40.685519,-73.966021,school
6,Ps 282 Park Slope,40.676576,-73.977798,school
7,Urban Assembly Unison School,40.68486,-73.960456,school
8,Public School 9,40.678459,-73.965965,school
9,Ps 321 William Penn,40.671556,-73.978082,school
10,Primary Prep,40.726512,-74.066408,school
11,Success Academy Midtown West,40.763818,-73.990729,school
12,P.S. 111 Adolph S. Ochs,40.766111,-73.98977,school
13,High School for Environmental Studies,40.767871,-73.988529,school
14,Ps 452,40.771678,-73.987455,school
15,Ethical Culture School,40.770904,-73.98017,school
16,Ps 199 Jessie Isador Straus,40.77796,-73.984686,school
17,William T Sherman School,40.781918,-73.978022,school
18,New Heights Middle School,40.662211,-73.93665,school
19,Ps 290 Manhattan New School,40.775196,-73.952982,school
20,Marymount School/Pratt Mansions,40.779884,-73.961335,school
21,Brearley School,40.772588,-73.94554,school
22,Rodeph Sholom Day School,40.784157,-73.971029,school
23,Manhattan Country School,40.786383,-73.974569,school
24,West Side Montessori School,40.793054,-73.975441,school
25,St Ephrem School,40.625964,-74.015817,school
26,Public School 315,40.633066,-73.954535,school
27,Ps85q The Judge Charles Vallone School,40.772913,-73.915008,school
28,Elm Community Charter School,40.737539,-73.884172,school
29,Stem Institute Of Manhattan,40.801744,-73.95536,school
30,Public School 204,40.613675,-74.006225,school
31,Ps 193 Gil Hodges,40.621813,-73.950313,school
32,Public School 222,40.613717,-73.938853,school
33,P.S. 101 - The School In The Gardens,40.715229,-73.843273,school
34,Cardinal Hayes High School,40.820574,-73.925467,school
35,Sacred Heart School,40.807922,-74.117897,school
36,Sheepshead Bay High School,40.593315,-73.936508,school
37,Dos Puentes Elementary School,40.8505,-73.93406,school
38,Public School 138,40.822409,-73.853233,school
39,Berkeley Elementary School,40.786178,-74.193187,school
40,Francis Lewis High School,40.740785,-73.795165,school
41,Hawthorne High School,40.953541,-74.159833,school
42,Academy for Personal Leadership and Excellence,40.85959,-73.900156,school
43,Staten Island Technical High School,40.567982,-74.115724,school
44,Monsignor Scanlan High School,40.825237,-73.837808,school
45,St Kevin's School,40.754223,-73.786422,school
46,Demarest Elementary School,40.824463,-74.178274,school
