,name,latitude,longitude,category,geometry
25,Beyond Sushi Herald Square,40.752383,-73.988576,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.752383, -73.988576]}"
26,Modern Love Brooklyn,40.709803,-73.951208,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.709803, -73.951208]}"
27,Franchia,40.747505,-73.981396,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.747505, -73.981396]}"
28,Natural Blend,40.673855,-73.962778,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.673855, -73.962778]}"
29,Wild Ginger Vegetarian Kitchen,40.7205,-73.996536,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.7205, -73.996536]}"
30,Dun-Well Doughnuts,40.707453,-73.940252,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.707453, -73.940252]}"
31,Buddha Bodai,40.713803,-73.998847,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.713803, -73.998847]}"
32,Hangawi,40.746764,-73.984862,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.746764, -73.984862]}"
33,sweetgreen,40.715159,-74.034124,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.715159, -74.034124]}"
34,Beyond Sushi,40.763269,-73.97712,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.763269, -73.97712]}"
35,Dirt Candy,40.717852,-73.990757,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.717852, -73.990757]}"
36,Guevara’s,40.687921,-73.96293,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.687921, -73.96293]}"
37,Etérea,40.724686,-73.983697,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.724686, -73.983697]}"
38,Le Petit Monstre,40.696201,-73.967787,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.696201, -73.967787]}"
39,Sweetgreen,40.752639,-74.001035,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.752639, -74.001035]}"
40,Ras Plant Based,40.673368,-73.956829,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.673368, -73.956829]}"
41,Sweetgreen,40.767052,-73.956819,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.767052, -73.956819]}"
42,Jajaja Mexicana,40.720173,-73.961701,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.720173, -73.961701]}"
43,Peacefood Cafe,40.785289,-73.977105,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.785289, -73.977105]}"
44,Delice & Sarrasin,40.733709,-74.000768,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.733709, -74.000768]}"
45,The Hummus & Co - Ave,40.739182,-73.995875,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.739182, -73.995875]}"
46,Izzy Rose,40.686903,-73.962672,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.686903, -73.962672]}"
47,Pet Shop,40.721303,-74.04607,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.721303, -74.04607]}"
48,The Butcher's Daughter,40.72071,-73.994754,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.72071, -73.994754]}"
49,The Cliff,40.749215,-74.041391,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.749215, -74.041391]}"
0,The Up and Up,40.729613,-74.000606,club,"{'type': 'Point', 'coordinates': [40.729613, -74.000606]}"
1,Village Vanguard,40.736003,-74.001688,club,"{'type': 'Point', 'coordinates': [40.736003, -74.001688]}"
2,The Royal Palms Shuffleboard Club,40.678593,-73.986948,club,"{'type': 'Point', 'coordinates': [40.678593, -73.986948]}"
3,Brouwerij Lane,40.729742,-73.957869,club,"{'type': 'Point', 'coordinates': [40.729742, -73.957869]}"
4,Le Bain,40.740795,-74.007991,club,"{'type': 'Point', 'coordinates': [40.740795, -74.007991]}"
5,Goldie's,40.72571,-73.945272,club,"{'type': 'Point', 'coordinates': [40.72571, -73.945272]}"
6,Birdland,40.759098,-73.98967,club,"{'type': 'Point', 'coordinates': [40.759098, -73.98967]}"
7,Tao Downtown,40.742413,-74.004038,club,"{'type': 'Point', 'coordinates': [40.742413, -74.004038]}"
8,As Is NYC,40.764662,-73.991461,club,"{'type': 'Point', 'coordinates': [40.764662, -73.991461]}"
9,Barbes,40.667789,-73.983821,club,"{'type': 'Point', 'coordinates': [40.667789, -73.983821]}"
10,House of Yes,40.706711,-73.923555,club,"{'type': 'Point', 'coordinates': [40.706711, -73.923555]}"
11,Bonnie Vee,40.722402,-73.992027,club,"{'type': 'Point', 'coordinates': [40.722402, -73.992027]}"
12,Karaoke Duet 53,40.764316,-73.984282,club,"{'type': 'Point', 'coordinates': [40.764316, -73.984282]}"
13,Pearl's Social & Billy Club,40.707145,-73.921262,club,"{'type': 'Point', 'coordinates': [40.707145, -73.921262]}"
